id,jlpt_level,word,reading,meaning,round2_review,source_file
n5_08250,N5,習う,ならう,to learn,NO,D:\codex-2\tup\NO\NO\n5_08250_習う_00003_.png
n5_08252,N5,聞く,きく,"to hear,to listen to,to ask",NO,D:\codex-2\tup\NO\NO\n5_08252_聞く_00003_.png
n5_08256,N5,脱ぐ,ぬぐ,to take off clothes,NO,D:\codex-2\tup\NO\NO\n5_08256_脱ぐ_00003_.png
n5_08263,N5,若い,わかい,young,NO,D:\codex-2\tup\NO\NO\n5_08263_若い_00003_.png
n5_08267,N5,葉書,はがき,postcard,NO,D:\codex-2\tup\NO\NO\n5_08267_葉書_00003_.png
n5_08268,N5,薄い,うすい,"thin,weak",NO,D:\codex-2\tup\NO\NO\n5_08268_薄い_00003_.png
n5_08270,N5,行く,いく,to go,NO,D:\codex-2\tup\NO\NO\n5_08270_行く_00003_.png
n5_08272,N5,要る,いる,to need,NO,D:\codex-2\tup\NO\NO\n5_08272_要る_00003_.png
n5_08273,N5,見せる,みせる,to show,NO,D:\codex-2\tup\NO\NO\n5_08273_見せる_00003_.png
n5_08275,N5,覚える,おぼえる,to remember,NO,D:\codex-2\tup\NO\NO\n5_08275_覚える_00003_.png
n5_08277,N5,言う,いう,to say,NO,D:\codex-2\tup\NO\NO\n5_08277_言う_00003_.png
n5_08280,N5,話す,はなす,to speak,NO,D:\codex-2\tup\NO\NO\n5_08280_話す_00003_.png
n5_08288,N5,買う,かう,to buy,NO,D:\codex-2\tup\NO\NO\n5_08288_買う_00003_.png
n5_08289,N5,貸す,かす,to lend,NO,D:\codex-2\tup\NO\NO\n5_08289_貸す_00003_.png
n5_08290,N5,貼る,はる,to stick,NO,D:\codex-2\tup\NO\NO\n5_08290_貼る_00003_.png
n5_08291,N5,賑やか,にぎやか,"bustling,busy",NO,D:\codex-2\tup\NO\NO\n5_08291_賑やか_00003_.png
n5_08294,N5,赤い,あかい,red,NO,D:\codex-2\tup\NO\NO\n5_08294_赤い_00003_.png
n5_08296,N5,起きる,おきる,to get up,NO,D:\codex-2\tup\NO\NO\n5_08296_起きる_00003_.png
n5_08297,N5,足,あし,"foot,leg",NO,D:\codex-2\tup\NO\NO\n5_08297_足_00005_.png
n5_08299,N5,軽い,かるい,light,NO,D:\codex-2\tup\NO\NO\n5_08299_軽い_00003_.png
n5_08300,N5,辛い,からい,spicy,NO,D:\codex-2\tup\NO\NO\n5_08300_辛い_00003_.png
n5_08303,N5,近い,ちかい,near,NO,D:\codex-2\tup\NO\NO\n5_08303_近い_00003_.png
n5_08305,N5,返す,かえす,to return something,NO,D:\codex-2\tup\NO\NO\n5_08305_返す_00003_.png
n5_08306,N5,速い,はやい,quick,NO,D:\codex-2\tup\NO\NO\n5_08306_速い_00003_.png
n5_08307,N5,遅い,おそい,"late,slow",NO,D:\codex-2\tup\NO\NO\n5_08307_遅い_00003_.png
n5_08308,N5,遊ぶ,あそぶ,"to play,to make a visit",NO,D:\codex-2\tup\NO\NO\n5_08308_遊ぶ_00003_.png
n5_08309,N5,道,みち,street,NO,D:\codex-2\tup\NO\NO\n5_08309_道_00003_.png
n5_08310,N5,違う,ちがう,to differ,NO,D:\codex-2\tup\NO\NO\n5_08310_違う_00003_.png
n5_08311,N5,遠い,とおい,far,NO,D:\codex-2\tup\NO\NO\n5_08311_遠い_00003_.png
n5_08312,N5,部屋,へや,room,NO,D:\codex-2\tup\NO\NO\n5_08312_部屋_00003_.png
n5_08318,N5,銀行,ぎんこう,bank,NO,D:\codex-2\tup\NO\NO\n5_08318_銀行_00003_.png
n5_08319,N5,長い,ながい,long,NO,D:\codex-2\tup\NO\NO\n5_08319_長い_00003_.png
n5_08321,N5,閉まる,しまる,"to close,to be closed",NO,D:\codex-2\tup\NO\NO\n5_08321_閉まる_00003_.png
n5_08322,N5,閉める,しめる,to close something,NO,D:\codex-2\tup\NO\NO\n5_08322_閉める_00003_.png
n5_08323,N5,開く,あく,"to open,to become open",NO,D:\codex-2\tup\NO\NO\n5_08323_開く_00003_.png
n5_08324,N5,開ける,あける,to open,NO,D:\codex-2\tup\NO\NO\n5_08324_開ける_00003_.png
n5_08325,N5,降りる,おりる,"to get off, to descend",NO,D:\codex-2\tup\NO\NO\n5_08325_降りる_00003_.png
n5_08330,N5,難しい,むずかしい,difficult,NO,D:\codex-2\tup\NO\NO\n5_08330_難しい_00003_.png
n5_08331,N5,雨,あめ,rain,NO,D:\codex-2\tup\NO\NO\n5_08331_雨_00003_.png
n5_08335,N5,電話,でんわ,telephone,NO,D:\codex-2\tup\NO\NO\n5_08335_電話_00003_.png
n5_08338,N5,青い,あおい,blue,NO,D:\codex-2\tup\NO\NO\n5_08338_青い_00003_.png
n5_08339,N5,静か,しずか,quiet,NO,D:\codex-2\tup\NO\NO\n5_08339_静か_00003_.png
n5_08340,N5,靴,くつ,shoes,NO,D:\codex-2\tup\NO\NO\n5_08340_靴_00003_.png
n5_08341,N5,靴下,くつした,socks,NO,D:\codex-2\tup\NO\NO\n5_08341_靴下_00003_.png
n5_08344,N5,頼む,たのむ,to ask,NO,D:\codex-2\tup\NO\NO\n5_08344_頼む_00003_.png
n5_08347,N5,飛ぶ,とぶ,"to fly,to hop",NO,D:\codex-2\tup\NO\NO\n5_08347_飛ぶ_00003_.png
n5_08349,N5,食べる,たべる,to eat,NO,D:\codex-2\tup\NO\NO\n5_08349_食べる_00003_.png
n5_08350,N5,食べ物,たべもの,food,NO,D:\codex-2\tup\NO\NO\n5_08350_食べ物_00003_.png
n5_08353,N5,飲む,のむ,to drink,NO,D:\codex-2\tup\NO\NO\n5_08353_飲む_00003_.png
n5_08363,N5,黒い,くろい,black,NO,D:\codex-2\tup\NO\NO\n5_08363_黒い_00003_.png
n5_08364,N5,鼻,はな,nose,NO,D:\codex-2\tup\NO\NO\n5_08364_鼻_00005_.png
